代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌幅,成交额(百万),成交量(股)
512010.OF,易方达沪深300医药卫生ETF,2013-09-23,0.25,0.25,0.25,0.25,0.0,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-09-27,0.2506,0.2506,0.2506,0.2506,0.0022,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-09-30,0.2507,0.2507,0.2507,0.2507,0.0004,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-10-11,0.2511,0.2511,0.2511,0.2511,0.0016,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-10-18,0.2513,0.2513,0.2513,0.2513,0.001,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-10-21,0.2518,0.2518,0.2518,0.2518,0.0021,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-10-22,0.2517,0.2517,0.2517,0.2517,-0.0007,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-10-23,0.2507,0.2507,0.2507,0.2507,-0.0037,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-10-24,0.2503,0.2503,0.2503,0.2503,-0.0019,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-10-25,0.2443,0.2443,0.2443,0.2443,-0.024,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-10-28,0.2404,0.2404,0.2404,0.2404,-0.0158,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-10-29,0.2387,0.2387,0.2387,0.2387,-0.0073,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-10-30,0.2413,0.2413,0.2413,0.2413,0.0111,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-10-31,0.2368,0.2368,0.2368,0.2368,-0.0186,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-11-01,0.2383,0.2383,0.2383,0.2383,0.0061,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-11-04,0.235,0.235,0.235,0.235,-0.0137,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-11-05,0.2352,0.2352,0.2352,0.2352,0.0009,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-11-06,0.2312,0.2312,0.2312,0.2312,-0.0171,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-11-07,0.227,0.227,0.227,0.227,-0.0181,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-11-08,0.224,0.224,0.224,0.224,-0.0131,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-11-11,0.2301,0.2301,0.2301,0.2301,0.0273,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-11-12,0.2331,0.2331,0.2331,0.2331,0.013,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-11-13,0.2293,0.2293,0.2293,0.2293,-0.0163,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-11-14,0.2332,0.2332,0.2332,0.2332,0.0167,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-11-15,0.2347,0.2347,0.2347,0.2347,0.0065,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-11-18,0.2361,0.2361,0.2361,0.2361,0.0062,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-11-19,0.2346,0.2346,0.2346,0.2346,-0.0067,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-11-20,0.2358,0.2358,0.2358,0.2358,0.0052,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-11-21,0.2353,0.2353,0.2353,0.2353,-0.002,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-11-22,0.2332,0.2332,0.2332,0.2332,-0.0091,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-11-25,0.2333,0.2333,0.2333,0.2333,0.0005,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-11-26,0.2332,0.2332,0.2332,0.2332,-0.0004,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-11-27,0.2353,0.2353,0.2353,0.2353,0.0091,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-11-28,0.2369,0.2369,0.2369,0.2369,0.0069,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-11-29,0.2386,0.2386,0.2386,0.2386,0.0071,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-12-02,0.2326,0.2326,0.2326,0.2326,-0.0251,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-12-03,0.2379,0.2379,0.2379,0.2379,0.0229,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-12-04,0.2409,0.2409,0.2409,0.2409,0.0125,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-12-05,0.2409,0.2409,0.2409,0.2409,0.0,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-12-06,0.241,0.241,0.241,0.241,0.0004,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-12-09,0.2406,0.2406,0.2406,0.2406,-0.0019,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-12-10,0.2378,0.2378,0.2378,0.2378,-0.0114,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-12-11,0.2361,0.2361,0.2361,0.2361,-0.007,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-12-12,0.2385,0.2385,0.2385,0.2385,0.0098,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-12-13,0.2384,0.2384,0.2384,0.2384,-0.0001,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-12-16,0.2341,0.2341,0.2341,0.2341,-0.0182,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-12-17,0.236,0.236,0.236,0.236,0.0081,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-12-18,0.2374,0.2374,0.2374,0.2374,0.0059,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-12-19,0.2339,0.2339,0.2339,0.2339,-0.0148,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-12-20,0.2322,0.2322,0.2322,0.2322,-0.0069,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-12-23,0.239,0.239,0.239,0.239,0.0291,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-12-24,0.2379,0.2379,0.2379,0.2379,-0.0047,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-12-25,0.2379,0.2379,0.2379,0.2379,0.0003,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-12-26,0.2365,0.2365,0.2365,0.2365,-0.0061,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-12-27,0.2387,0.2387,0.2387,0.2387,0.0094,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-12-30,0.2374,0.2374,0.2374,0.2374,-0.0053,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2013-12-31,0.2402,0.2402,0.2402,0.2402,0.0116,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-01-02,0.2452,0.2452,0.2452,0.2452,0.0207,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-01-03,0.2432,0.2432,0.2432,0.2432,-0.0082,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-01-06,0.237,0.237,0.237,0.237,-0.0253,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-01-07,0.2389,0.2389,0.2389,0.2389,0.008,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-01-08,0.2408,0.2408,0.2408,0.2408,0.0078,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-01-09,0.239,0.239,0.239,0.239,-0.0074,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-01-10,0.2345,0.2345,0.2345,0.2345,-0.0187,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-01-13,0.2322,0.2322,0.2322,0.2322,-0.0098,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-01-14,0.2342,0.2342,0.2342,0.2342,0.0083,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-01-15,0.2368,0.2368,0.2368,0.2368,0.0113,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-01-16,0.2348,0.2348,0.2348,0.2348,-0.0086,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-01-17,0.2308,0.2308,0.2308,0.2308,-0.0169,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-01-20,0.2275,0.2275,0.2275,0.2275,-0.0144,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-01-21,0.2284,0.2284,0.2284,0.2284,0.004,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-01-22,0.2332,0.2332,0.2332,0.2332,0.0209,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-01-23,0.2321,0.2321,0.2321,0.2321,-0.0047,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-01-24,0.2333,0.2333,0.2333,0.2333,0.0055,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-01-27,0.2285,0.2285,0.2285,0.2285,-0.0207,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-01-28,0.2304,0.2304,0.2304,0.2304,0.0082,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-01-29,0.2311,0.2311,0.2311,0.2311,0.0033,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-01-30,0.23,0.23,0.23,0.23,-0.0051,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-02-07,0.2281,0.2281,0.2281,0.2281,-0.0082,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-02-10,0.2365,0.2365,0.2365,0.2365,0.0369,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-02-11,0.2378,0.2378,0.2378,0.2378,0.0054,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-02-12,0.2388,0.2388,0.2388,0.2388,0.0042,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-02-13,0.2338,0.2338,0.2338,0.2338,-0.0209,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-02-14,0.2376,0.2376,0.2376,0.2376,0.0165,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-02-17,0.2393,0.2393,0.2393,0.2393,0.0069,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-02-18,0.2396,0.2396,0.2396,0.2396,0.0013,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-02-19,0.2415,0.2415,0.2415,0.2415,0.008,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-02-20,0.2392,0.2392,0.2392,0.2392,-0.0095,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-02-21,0.2383,0.2383,0.2383,0.2383,-0.004,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-02-24,0.2387,0.2387,0.2387,0.2387,0.0017,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-02-25,0.2325,0.2325,0.2325,0.2325,-0.026,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-02-26,0.2333,0.2333,0.2333,0.2333,0.0037,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-02-27,0.2254,0.2254,0.2254,0.2254,-0.0338,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-02-28,0.2267,0.2267,0.2267,0.2267,0.0058,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-03-03,0.2282,0.2282,0.2282,0.2282,0.0066,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-03-04,0.2266,0.2266,0.2266,0.2266,-0.0073,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-03-05,0.2237,0.2237,0.2237,0.2237,-0.0125,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-03-06,0.2218,0.2218,0.2218,0.2218,-0.0086,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-03-07,0.2248,0.2248,0.2248,0.2248,0.0134,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-03-10,0.2201,0.2201,0.2201,0.2201,-0.0207,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-03-11,0.2232,0.2232,0.2232,0.2232,0.0139,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-03-12,0.2228,0.2228,0.2228,0.2228,-0.0019,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-03-13,0.226,0.226,0.226,0.226,0.0146,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-03-14,0.224,0.224,0.224,0.224,-0.0091,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-03-17,0.2266,0.2266,0.2266,0.2266,0.0117,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-03-18,0.2267,0.2267,0.2267,0.2267,0.0003,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-03-19,0.2238,0.2238,0.2238,0.2238,-0.0128,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-03-20,0.2177,0.2177,0.2177,0.2177,-0.027,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-03-21,0.2214,0.2214,0.2214,0.2214,0.0169,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-03-24,0.2198,0.2198,0.2198,0.2198,-0.0072,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-03-25,0.2196,0.2196,0.2196,0.2196,-0.0009,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-03-26,0.2222,0.2222,0.2222,0.2222,0.0121,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-03-27,0.2188,0.2188,0.2188,0.2188,-0.0154,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2014-03-28,0.2159,0.2159,0.2159,0.2159,-0.0133,0.0,0.0
