代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌幅,成交额(百万),成交量(股)
159928.OF,汇添富中证主要消费ETF,2013-08-23,0.25,0.25,0.25,0.25,0.0,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-08-30,0.2501,0.2501,0.2501,0.2501,0.0004,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-09-06,0.2502,0.2502,0.2502,0.2502,0.0005,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-09-09,0.2502,0.2502,0.2502,0.2502,-0.0002,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-09-13,0.2526,0.2526,0.2526,0.2526,0.0098,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-09-16,0.2513,0.2513,0.2513,0.2513,-0.0053,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-09-17,0.2464,0.2464,0.2464,0.2464,-0.0194,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-09-18,0.246,0.246,0.246,0.246,-0.0015,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-09-23,0.2502,0.2502,0.2502,0.2502,0.0168,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-09-24,0.2532,0.2532,0.2532,0.2532,0.0122,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-09-25,0.2526,0.2526,0.2526,0.2526,-0.0023,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-09-26,0.2525,0.2525,0.2525,0.2525,-0.0006,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-09-27,0.2517,0.2517,0.2517,0.2517,-0.0033,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-09-30,0.2552,0.2552,0.2552,0.2552,0.0141,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-10-08,0.2577,0.2577,0.2577,0.2577,0.0099,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-10-09,0.2605,0.2605,0.2605,0.2605,0.0107,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-10-10,0.2598,0.2598,0.2598,0.2598,-0.0028,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-10-11,0.2632,0.2632,0.2632,0.2632,0.0131,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-10-14,0.2688,0.2688,0.2688,0.2688,0.0214,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-10-15,0.2711,0.2711,0.2711,0.2711,0.0086,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-10-16,0.2661,0.2661,0.2661,0.2661,-0.0183,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-10-17,0.2658,0.2658,0.2658,0.2658,-0.0014,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-10-18,0.2667,0.2667,0.2667,0.2667,0.0035,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-10-21,0.2759,0.2759,0.2759,0.2759,0.0347,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-10-22,0.2735,0.2735,0.2735,0.2735,-0.009,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-10-23,0.2639,0.2639,0.2639,0.2639,-0.0349,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-10-24,0.2611,0.2611,0.2611,0.2611,-0.0105,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-10-25,0.2546,0.2546,0.2546,0.2546,-0.0251,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-10-28,0.2527,0.2527,0.2527,0.2527,-0.0076,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-10-29,0.2498,0.2498,0.2498,0.2498,-0.0113,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-10-30,0.2529,0.2529,0.2529,0.2529,0.0125,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-10-31,0.2463,0.2463,0.2463,0.2463,-0.0262,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-11-01,0.2448,0.2448,0.2448,0.2448,-0.006,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-11-04,0.2452,0.2452,0.2452,0.2452,0.0015,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-11-05,0.2472,0.2472,0.2472,0.2472,0.008,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-11-06,0.2449,0.2449,0.2449,0.2449,-0.0092,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-11-07,0.2418,0.2418,0.2418,0.2418,-0.0127,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-11-08,0.2387,0.2387,0.2387,0.2387,-0.0128,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-11-11,0.2419,0.2419,0.2419,0.2419,0.0135,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-11-12,0.2456,0.2456,0.2456,0.2456,0.0151,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-11-13,0.2417,0.2417,0.2417,0.2417,-0.0156,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-11-14,0.2452,0.2452,0.2452,0.2452,0.0142,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-11-15,0.2495,0.2495,0.2495,0.2495,0.0177,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-11-18,0.2552,0.2552,0.2552,0.2552,0.0227,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-11-19,0.2519,0.2519,0.2519,0.2519,-0.0128,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-11-20,0.2523,0.2523,0.2523,0.2523,0.0017,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-11-21,0.2504,0.2504,0.2504,0.2504,-0.0077,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-11-22,0.2495,0.2495,0.2495,0.2495,-0.0037,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-11-25,0.2491,0.2491,0.2491,0.2491,-0.0013,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-11-26,0.2491,0.2491,0.2491,0.2491,-0.0003,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-11-27,0.2505,0.2505,0.2505,0.2505,0.0058,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-11-28,0.2541,0.2541,0.2541,0.2541,0.0143,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-11-29,0.2542,0.2542,0.2542,0.2542,0.0006,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-12-02,0.245,0.245,0.245,0.245,-0.0364,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-12-03,0.2503,0.2503,0.2503,0.2503,0.0216,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-12-04,0.2547,0.2547,0.2547,0.2547,0.0175,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-12-05,0.2543,0.2543,0.2543,0.2543,-0.0015,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-12-06,0.254,0.254,0.254,0.254,-0.0012,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-12-09,0.2554,0.2554,0.2554,0.2554,0.0054,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-12-10,0.2549,0.2549,0.2549,0.2549,-0.0019,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-12-11,0.2527,0.2527,0.2527,0.2527,-0.0086,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-12-12,0.2522,0.2522,0.2522,0.2522,-0.002,0.0,0.0
159928.OF,汇添富中证主要消费ETF,2013-12-13,0.2516,0.2516,0.2516,0.2516,-0.0025,0.0,0.0
