代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌幅,成交额(百万),成交量(股)
516320.OF,华夏中证装备产业ETF,2024-01-02,0.6852,0.6852,0.6852,0.6852,-0.0115,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-01-03,0.6841,0.6841,0.6841,0.6841,-0.0016,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-01-04,0.6742,0.6742,0.6742,0.6742,-0.0145,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-01-05,0.6634,0.6634,0.6634,0.6634,-0.016,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-01-08,0.6537,0.6537,0.6537,0.6537,-0.0146,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-01-09,0.6579,0.6579,0.6579,0.6579,0.0064,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-01-10,0.6596,0.6596,0.6596,0.6596,0.0026,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-01-11,0.6702,0.6702,0.6702,0.6702,0.0161,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-01-12,0.6707,0.6707,0.6707,0.6707,0.0007,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-01-15,0.6627,0.6627,0.6627,0.6627,-0.0119,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-01-16,0.6695,0.6695,0.6695,0.6695,0.0103,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-01-17,0.6513,0.6513,0.6513,0.6513,-0.0272,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-01-18,0.6631,0.6631,0.6631,0.6631,0.0181,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-01-19,0.6544,0.6544,0.6544,0.6544,-0.0131,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-01-22,0.6366,0.6366,0.6366,0.6366,-0.0272,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-01-23,0.6418,0.6418,0.6418,0.6418,0.0082,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-01-24,0.6442,0.6442,0.6442,0.6442,0.0037,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-01-25,0.6585,0.6585,0.6585,0.6585,0.0222,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-01-26,0.6504,0.6504,0.6504,0.6504,-0.0123,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-01-29,0.63,0.63,0.63,0.63,-0.0314,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-01-30,0.6158,0.6158,0.6158,0.6158,-0.0225,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-01-31,0.6083,0.6083,0.6083,0.6083,-0.0122,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-02-01,0.6086,0.6086,0.6086,0.6086,0.0005,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-02-02,0.5936,0.5936,0.5936,0.5936,-0.0246,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-02-05,0.5892,0.5892,0.5892,0.5892,-0.0074,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-02-06,0.6239,0.6239,0.6239,0.6239,0.0589,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-02-07,0.6431,0.6431,0.6431,0.6431,0.0308,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-02-08,0.6526,0.6526,0.6526,0.6526,0.0148,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-02-19,0.651,0.651,0.651,0.651,-0.0025,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-02-20,0.6483,0.6483,0.6483,0.6483,-0.0041,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-02-21,0.6524,0.6524,0.6524,0.6524,0.0063,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-02-22,0.6562,0.6562,0.6562,0.6562,0.0058,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-02-23,0.6586,0.6586,0.6586,0.6586,0.0037,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-02-26,0.6598,0.6598,0.6598,0.6598,0.0018,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-02-27,0.6685,0.6685,0.6685,0.6685,0.0132,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-02-28,0.6562,0.6562,0.6562,0.6562,-0.0184,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-02-29,0.6786,0.6786,0.6786,0.6786,0.0341,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-03-01,0.6837,0.6837,0.6837,0.6837,0.0075,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-03-04,0.6868,0.6868,0.6868,0.6868,0.0045,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-03-05,0.6858,0.6858,0.6858,0.6858,-0.0015,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-03-06,0.6932,0.6932,0.6932,0.6932,0.0108,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-03-07,0.6805,0.6805,0.6805,0.6805,-0.0183,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-03-08,0.6896,0.6896,0.6896,0.6896,0.0134,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-03-11,0.7156,0.7156,0.7156,0.7156,0.0377,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-03-12,0.7142,0.7142,0.7142,0.7142,-0.002,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-03-13,0.7103,0.7103,0.7103,0.7103,-0.0055,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-03-14,0.7037,0.7037,0.7037,0.7037,-0.0093,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-03-15,0.7018,0.7018,0.7018,0.7018,-0.0027,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-03-18,0.7175,0.7175,0.7175,0.7175,0.0224,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-03-19,0.7094,0.7094,0.7094,0.7094,-0.0113,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-03-20,0.7104,0.7104,0.7104,0.7104,0.0014,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-03-21,0.7044,0.7044,0.7044,0.7044,-0.0084,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-03-22,0.692,0.692,0.692,0.692,-0.0176,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-03-25,0.6848,0.6848,0.6848,0.6848,-0.0104,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-03-26,0.6935,0.6935,0.6935,0.6935,0.0127,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-03-27,0.6752,0.6752,0.6752,0.6752,-0.0264,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-03-28,0.6832,0.6832,0.6832,0.6832,0.0118,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-03-29,0.6922,0.6922,0.6922,0.6922,0.0132,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-03-31,0.6922,0.6922,0.6922,0.6922,0.0,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-04-01,0.7091,0.7091,0.7091,0.7091,0.0244,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-04-02,0.71,0.71,0.71,0.71,0.0013,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-04-03,0.7043,0.7043,0.7043,0.7043,-0.008,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-04-08,0.6938,0.6938,0.6938,0.6938,-0.0149,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-04-09,0.6997,0.6997,0.6997,0.6997,0.0085,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-04-10,0.6913,0.6913,0.6913,0.6913,-0.012,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-04-11,0.6962,0.6962,0.6962,0.6962,0.0071,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-04-12,0.6854,0.6854,0.6854,0.6854,-0.0155,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-04-15,0.7025,0.7025,0.7025,0.7025,0.0249,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-04-16,0.6865,0.6865,0.6865,0.6865,-0.0228,0.0,0.0
516320.OF,华夏中证装备产业ETF,2024-04-17,0.7035,0.7035,0.7035,0.7035,0.0248,0.0,0.0
