代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌幅,成交额(百万),成交量(股)
159870.OF,鹏华中证细分化工产业主题ETF,2023-12-01,0.5928,0.5928,0.5928,0.5928,-0.0087,0.0,0.0
159870.OF,鹏华中证细分化工产业主题ETF,2023-12-04,0.5915,0.5915,0.5915,0.5915,-0.0022,0.0,0.0
159870.OF,鹏华中证细分化工产业主题ETF,2023-12-05,0.5826,0.5826,0.5826,0.5826,-0.015,0.0,0.0
159870.OF,鹏华中证细分化工产业主题ETF,2023-12-06,0.5881,0.5881,0.5881,0.5881,0.0094,0.0,0.0
159870.OF,鹏华中证细分化工产业主题ETF,2023-12-07,0.5833,0.5833,0.5833,0.5833,-0.0082,0.0,0.0
159870.OF,鹏华中证细分化工产业主题ETF,2023-12-08,0.5822,0.5822,0.5822,0.5822,-0.0019,0.0,0.0
159870.OF,鹏华中证细分化工产业主题ETF,2023-12-11,0.5873,0.5873,0.5873,0.5873,0.0088,0.0,0.0
159870.OF,鹏华中证细分化工产业主题ETF,2023-12-12,0.5884,0.5884,0.5884,0.5884,0.0019,0.0,0.0
159870.OF,鹏华中证细分化工产业主题ETF,2023-12-13,0.5761,0.5761,0.5761,0.5761,-0.0209,0.0,0.0
159870.OF,鹏华中证细分化工产业主题ETF,2023-12-14,0.5742,0.5742,0.5742,0.5742,-0.0033,0.0,0.0
159870.OF,鹏华中证细分化工产业主题ETF,2023-12-15,0.5726,0.5726,0.5726,0.5726,-0.0028,0.0,0.0
159870.OF,鹏华中证细分化工产业主题ETF,2023-12-18,0.5658,0.5658,0.5658,0.5658,-0.0119,0.0,0.0
159870.OF,鹏华中证细分化工产业主题ETF,2023-12-19,0.5664,0.5664,0.5664,0.5664,0.0011,0.0,0.0
159870.OF,鹏华中证细分化工产业主题ETF,2023-12-20,0.5625,0.5625,0.5625,0.5625,-0.0069,0.0,0.0
159870.OF,鹏华中证细分化工产业主题ETF,2023-12-21,0.5653,0.5653,0.5653,0.5653,0.005,0.0,0.0
159870.OF,鹏华中证细分化工产业主题ETF,2023-12-22,0.5712,0.5712,0.5712,0.5712,0.0104,0.0,0.0
159870.OF,鹏华中证细分化工产业主题ETF,2023-12-25,0.5723,0.5723,0.5723,0.5723,0.0019,0.0,0.0
159870.OF,鹏华中证细分化工产业主题ETF,2023-12-26,0.5719,0.5719,0.5719,0.5719,-0.0007,0.0,0.0
159870.OF,鹏华中证细分化工产业主题ETF,2023-12-27,0.5701,0.5701,0.5701,0.5701,-0.0031,0.0,0.0
159870.OF,鹏华中证细分化工产业主题ETF,2023-12-28,0.5874,0.5874,0.5874,0.5874,0.0303,0.0,0.0
