代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌幅,成交额(百万),成交量(股)
510230.OF,国泰上证180金融ETF,2024-01-02,0.9365,0.9365,0.9365,0.9365,-0.0131,0,0
510230.OF,国泰上证180金融ETF,2024-01-03,0.9408,0.9408,0.9408,0.9408,0.0046,0,0
510230.OF,国泰上证180金融ETF,2024-01-04,0.9388,0.9388,0.9388,0.9388,-0.0021,0,0
510230.OF,国泰上证180金融ETF,2024-01-05,0.9414,0.9414,0.9414,0.9414,0.0028,0,0
510230.OF,国泰上证180金融ETF,2024-01-08,0.9316,0.9316,0.9316,0.9316,-0.0104,0,0
510230.OF,国泰上证180金融ETF,2024-01-09,0.9304,0.9304,0.9304,0.9304,-0.0013,0,0
510230.OF,国泰上证180金融ETF,2024-01-10,0.9234,0.9234,0.9234,0.9234,-0.0075,0,0
510230.OF,国泰上证180金融ETF,2024-01-11,0.9249,0.9249,0.9249,0.9249,0.0016,0,0
510230.OF,国泰上证180金融ETF,2024-01-12,0.924,0.924,0.924,0.924,-0.001,0,0
510230.OF,国泰上证180金融ETF,2024-01-15,0.9271,0.9271,0.9271,0.9271,0.0034,0,0
510230.OF,国泰上证180金融ETF,2024-01-16,0.9383,0.9383,0.9383,0.9383,0.0121,0,0
510230.OF,国泰上证180金融ETF,2024-01-17,0.9284,0.9284,0.9284,0.9284,-0.0106,0,0
510230.OF,国泰上证180金融ETF,2024-01-18,0.937,0.937,0.937,0.937,0.0093,0,0
510230.OF,国泰上证180金融ETF,2024-01-19,0.9372,0.9372,0.9372,0.9372,0.0002,0,0
510230.OF,国泰上证180金融ETF,2024-01-22,0.935,0.935,0.935,0.935,-0.0023,0,0
510230.OF,国泰上证180金融ETF,2024-01-23,0.937,0.937,0.937,0.937,0.0021,0,0
510230.OF,国泰上证180金融ETF,2024-01-24,0.959,0.959,0.959,0.959,0.0235,0,0
510230.OF,国泰上证180金融ETF,2024-01-25,0.9765,0.9765,0.9765,0.9765,0.0182,0,0
510230.OF,国泰上证180金融ETF,2024-01-26,0.9853,0.9853,0.9853,0.9853,0.009,0,0
510230.OF,国泰上证180金融ETF,2024-01-29,0.987,0.987,0.987,0.987,0.0017,0,0
510230.OF,国泰上证180金融ETF,2024-01-30,0.9761,0.9761,0.9761,0.9761,-0.011,0,0
510230.OF,国泰上证180金融ETF,2024-01-31,0.9765,0.9765,0.9765,0.9765,0.0004,0,0
510230.OF,国泰上证180金融ETF,2024-02-01,0.9699,0.9699,0.9699,0.9699,-0.0068,0,0
510230.OF,国泰上证180金融ETF,2024-02-02,0.9663,0.9663,0.9663,0.9663,-0.0037,0,0
510230.OF,国泰上证180金融ETF,2024-02-05,0.9748,0.9748,0.9748,0.9748,0.0088,0,0
510230.OF,国泰上证180金融ETF,2024-02-06,0.9967,0.9967,0.9967,0.9967,0.0225,0,0
510230.OF,国泰上证180金融ETF,2024-02-07,0.9957,0.9957,0.9957,0.9957,-0.001,0,0
510230.OF,国泰上证180金融ETF,2024-02-08,0.9979,0.9979,0.9979,0.9979,0.0022,0,0
510230.OF,国泰上证180金融ETF,2024-02-19,1.0063,1.0063,1.0063,1.0063,0.0084,0,0
510230.OF,国泰上证180金融ETF,2024-02-20,1.0118,1.0118,1.0118,1.0118,0.0055,0,0
510230.OF,国泰上证180金融ETF,2024-02-21,1.0335,1.0335,1.0335,1.0335,0.0214,0,0
510230.OF,国泰上证180金融ETF,2024-02-22,1.0383,1.0383,1.0383,1.0383,0.0046,0,0
510230.OF,国泰上证180金融ETF,2024-02-23,1.0426,1.0426,1.0426,1.0426,0.0041,0,0
510230.OF,国泰上证180金融ETF,2024-02-26,1.0194,1.0194,1.0194,1.0194,-0.0223,0,0
510230.OF,国泰上证180金融ETF,2024-02-27,1.0226,1.0226,1.0226,1.0226,0.0031,0,0
510230.OF,国泰上证180金融ETF,2024-02-28,1.0149,1.0149,1.0149,1.0149,-0.0075,0,0
510230.OF,国泰上证180金融ETF,2024-02-29,1.0219,1.0219,1.0219,1.0219,0.0069,0,0
510230.OF,国泰上证180金融ETF,2024-03-01,1.0237,1.0237,1.0237,1.0237,0.0018,0,0
510230.OF,国泰上证180金融ETF,2024-03-04,1.0138,1.0138,1.0138,1.0138,-0.0097,0,0
510230.OF,国泰上证180金融ETF,2024-03-05,1.0268,1.0268,1.0268,1.0268,0.0128,0,0
510230.OF,国泰上证180金融ETF,2024-03-06,1.0192,1.0192,1.0192,1.0192,-0.0074,0,0
510230.OF,国泰上证180金融ETF,2024-03-07,1.0207,1.0207,1.0207,1.0207,0.0015,0,0
510230.OF,国泰上证180金融ETF,2024-03-08,1.0185,1.0185,1.0185,1.0185,-0.0022,0,0
