代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌幅,成交额(百万),成交量(股)
159930.OF,汇添富中证能源ETF,2024-01-02,1.2794,1.2794,1.2794,1.2794,0.0224,0,0
159930.OF,汇添富中证能源ETF,2024-01-03,1.2966,1.2966,1.2966,1.2966,0.0134,0,0
159930.OF,汇添富中证能源ETF,2024-01-04,1.3087,1.3087,1.3087,1.3087,0.0093,0,0
159930.OF,汇添富中证能源ETF,2024-01-05,1.3062,1.3062,1.3062,1.3062,-0.0019,0,0
159930.OF,汇添富中证能源ETF,2024-01-08,1.2992,1.2992,1.2992,1.2992,-0.0054,0,0
159930.OF,汇添富中证能源ETF,2024-01-09,1.3064,1.3064,1.3064,1.3064,0.0055,0,0
159930.OF,汇添富中证能源ETF,2024-01-10,1.2958,1.2958,1.2958,1.2958,-0.0081,0,0
159930.OF,汇添富中证能源ETF,2024-01-11,1.2754,1.2754,1.2754,1.2754,-0.0157,0,0
159930.OF,汇添富中证能源ETF,2024-01-12,1.2829,1.2829,1.2829,1.2829,0.0059,0,0
159930.OF,汇添富中证能源ETF,2024-01-15,1.2948,1.2948,1.2948,1.2948,0.0093,0,0
159930.OF,汇添富中证能源ETF,2024-01-16,1.2953,1.2953,1.2953,1.2953,0.0004,0,0
159930.OF,汇添富中证能源ETF,2024-01-17,1.2802,1.2802,1.2802,1.2802,-0.0117,0,0
159930.OF,汇添富中证能源ETF,2024-01-18,1.2754,1.2754,1.2754,1.2754,-0.0037,0,0
159930.OF,汇添富中证能源ETF,2024-01-19,1.2594,1.2594,1.2594,1.2594,-0.0125,0,0
159930.OF,汇添富中证能源ETF,2024-01-22,1.2351,1.2351,1.2351,1.2351,-0.0193,0,0
159930.OF,汇添富中证能源ETF,2024-01-23,1.2504,1.2504,1.2504,1.2504,0.0124,0,0
159930.OF,汇添富中证能源ETF,2024-01-24,1.2826,1.2826,1.2826,1.2826,0.0258,0,0
159930.OF,汇添富中证能源ETF,2024-01-25,1.3416,1.3416,1.3416,1.3416,0.046,0,0
159930.OF,汇添富中证能源ETF,2024-01-26,1.3601,1.3601,1.3601,1.3601,0.0138,0,0
159930.OF,汇添富中证能源ETF,2024-01-29,1.3604,1.3604,1.3604,1.3604,0.0002,0,0
159930.OF,汇添富中证能源ETF,2024-01-30,1.3518,1.3518,1.3518,1.3518,-0.0063,0,0
159930.OF,汇添富中证能源ETF,2024-01-31,1.3599,1.3599,1.3599,1.3599,0.006,0,0
159930.OF,汇添富中证能源ETF,2024-02-01,1.3354,1.3354,1.3354,1.3354,-0.018,0,0
159930.OF,汇添富中证能源ETF,2024-02-02,1.3375,1.3375,1.3375,1.3375,0.0016,0,0
159930.OF,汇添富中证能源ETF,2024-02-05,1.3583,1.3583,1.3583,1.3583,0.0156,0,0
159930.OF,汇添富中证能源ETF,2024-02-06,1.3598,1.3598,1.3598,1.3598,0.0011,0,0
159930.OF,汇添富中证能源ETF,2024-02-07,1.3897,1.3897,1.3897,1.3897,0.022,0,0
159930.OF,汇添富中证能源ETF,2024-02-08,1.3863,1.3863,1.3863,1.3863,-0.0024,0,0
159930.OF,汇添富中证能源ETF,2024-02-19,1.446,1.446,1.446,1.446,0.0431,0,0
159930.OF,汇添富中证能源ETF,2024-02-20,1.4512,1.4512,1.4512,1.4512,0.0036,0,0
159930.OF,汇添富中证能源ETF,2024-02-21,1.4472,1.4472,1.4472,1.4472,-0.0028,0,0
159930.OF,汇添富中证能源ETF,2024-02-22,1.509,1.509,1.509,1.509,0.0427,0,0
159930.OF,汇添富中证能源ETF,2024-02-23,1.4855,1.4855,1.4855,1.4855,-0.0156,0,0
159930.OF,汇添富中证能源ETF,2024-02-26,1.4561,1.4561,1.4561,1.4561,-0.0198,0,0
159930.OF,汇添富中证能源ETF,2024-02-27,1.4609,1.4609,1.4609,1.4609,0.0033,0,0
159930.OF,汇添富中证能源ETF,2024-02-28,1.4551,1.4551,1.4551,1.4551,-0.004,0,0
159930.OF,汇添富中证能源ETF,2024-02-29,1.4592,1.4592,1.4592,1.4592,0.0028,0,0
159930.OF,汇添富中证能源ETF,2024-03-01,1.4624,1.4624,1.4624,1.4624,0.0022,0,0
159930.OF,汇添富中证能源ETF,2024-03-04,1.4985,1.4985,1.4985,1.4985,0.0247,0,0
159930.OF,汇添富中证能源ETF,2024-03-05,1.4999,1.4999,1.4999,1.4999,0.0009,0,0
159930.OF,汇添富中证能源ETF,2024-03-06,1.5017,1.5017,1.5017,1.5017,0.0012,0,0
159930.OF,汇添富中证能源ETF,2024-03-07,1.5194,1.5194,1.5194,1.5194,0.0118,0,0
159930.OF,汇添富中证能源ETF,2024-03-08,1.5246,1.5246,1.5246,1.5246,0.0034,0,0
159930.OF,汇添富中证能源ETF,2024-03-11,1.4843,1.4843,1.4843,1.4843,-0.0264,0,0
159930.OF,汇添富中证能源ETF,2024-03-12,1.4316,1.4316,1.4316,1.4316,-0.0355,0,0
159930.OF,汇添富中证能源ETF,2024-03-13,1.4285,1.4285,1.4285,1.4285,-0.0022,0,0
159930.OF,汇添富中证能源ETF,2024-03-14,1.4397,1.4397,1.4397,1.4397,0.0078,0,0
159930.OF,汇添富中证能源ETF,2024-03-15,1.4307,1.4307,1.4307,1.4307,-0.0063,0,0
159930.OF,汇添富中证能源ETF,2024-03-18,1.4187,1.4187,1.4187,1.4187,-0.0084,0,0
159930.OF,汇添富中证能源ETF,2024-03-19,1.4252,1.4252,1.4252,1.4252,0.0046,0,0
159930.OF,汇添富中证能源ETF,2024-03-20,1.4372,1.4372,1.4372,1.4372,0.0084,0,0
159930.OF,汇添富中证能源ETF,2024-03-21,1.4351,1.4351,1.4351,1.4351,-0.0015,0,0
159930.OF,汇添富中证能源ETF,2024-03-22,1.4295,1.4295,1.4295,1.4295,-0.0039,0,0
159930.OF,汇添富中证能源ETF,2024-03-25,1.439,1.439,1.439,1.439,0.0066,0,0
159930.OF,汇添富中证能源ETF,2024-03-26,1.4192,1.4192,1.4192,1.4192,-0.0138,0,0
159930.OF,汇添富中证能源ETF,2024-03-27,1.417,1.417,1.417,1.417,-0.0016,0,0
159930.OF,汇添富中证能源ETF,2024-03-28,1.4228,1.4228,1.4228,1.4228,0.0041,0,0
159930.OF,汇添富中证能源ETF,2024-03-29,1.4614,1.4614,1.4614,1.4614,0.0271,0,0
159930.OF,汇添富中证能源ETF,2024-03-31,1.4613,1.4613,1.4613,1.4613,-0.0001,0,0
159930.OF,汇添富中证能源ETF,2024-04-01,1.447,1.447,1.447,1.447,-0.0098,0,0
159930.OF,汇添富中证能源ETF,2024-04-02,1.4661,1.4661,1.4661,1.4661,0.0132,0,0
159930.OF,汇添富中证能源ETF,2024-04-03,1.4953,1.4953,1.4953,1.4953,0.0199,0,0
159930.OF,汇添富中证能源ETF,2024-04-08,1.4895,1.4895,1.4895,1.4895,-0.0039,0,0
159930.OF,汇添富中证能源ETF,2024-04-09,1.4764,1.4764,1.4764,1.4764,-0.0088,0,0
159930.OF,汇添富中证能源ETF,2024-04-10,1.4922,1.4922,1.4922,1.4922,0.0107,0,0
159930.OF,汇添富中证能源ETF,2024-04-11,1.5027,1.5027,1.5027,1.5027,0.007,0,0
159930.OF,汇添富中证能源ETF,2024-04-12,1.4976,1.4976,1.4976,1.4976,-0.0034,0,0
159930.OF,汇添富中证能源ETF,2024-04-15,1.5411,1.5411,1.5411,1.5411,0.029,0,0
159930.OF,汇添富中证能源ETF,2024-04-16,1.5506,1.5506,1.5506,1.5506,0.0062,0,0
159930.OF,汇添富中证能源ETF,2024-04-17,1.5586,1.5586,1.5586,1.5586,0.0052,0,0
159930.OF,汇添富中证能源ETF,2024-04-18,1.5448,1.5448,1.5448,1.5448,-0.0089,0,0
159930.OF,汇添富中证能源ETF,2024-04-19,1.5665,1.5665,1.5665,1.5665,0.014,0,0
159930.OF,汇添富中证能源ETF,2024-04-22,1.5052,1.5052,1.5052,1.5052,-0.0391,0,0
159930.OF,汇添富中证能源ETF,2024-04-23,1.4779,1.4779,1.4779,1.4779,-0.0181,0,0
159930.OF,汇添富中证能源ETF,2024-04-24,1.4776,1.4776,1.4776,1.4776,-0.0002,0,0
159930.OF,汇添富中证能源ETF,2024-04-25,1.4881,1.4881,1.4881,1.4881,0.0071,0,0
159930.OF,汇添富中证能源ETF,2024-04-26,1.4877,1.4877,1.4877,1.4877,-0.0003,0,0
159930.OF,汇添富中证能源ETF,2024-04-29,1.4608,1.4608,1.4608,1.4608,-0.0181,0,0
159930.OF,汇添富中证能源ETF,2024-04-30,1.4761,1.4761,1.4761,1.4761,0.0105,0,0
159930.OF,汇添富中证能源ETF,2024-05-06,1.4696,1.4696,1.4696,1.4696,-0.0044,0,0
159930.OF,汇添富中证能源ETF,2024-05-07,1.4796,1.4796,1.4796,1.4796,0.0068,0,0
159930.OF,汇添富中证能源ETF,2024-05-08,1.5018,1.5018,1.5018,1.5018,0.015,0,0
159930.OF,汇添富中证能源ETF,2024-05-09,1.4996,1.4996,1.4996,1.4996,-0.0015,0,0
159930.OF,汇添富中证能源ETF,2024-05-10,1.5029,1.5029,1.5029,1.5029,0.0022,0,0
159930.OF,汇添富中证能源ETF,2024-05-13,1.49,1.49,1.49,1.49,-0.0086,0,0
