代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌幅,成交额(百万),成交量(股)
512200.OF,南方中证全指房地产ETF,2024-01-02,1.438,1.438,1.438,1.438,-0.0194,0,0
512200.OF,南方中证全指房地产ETF,2024-01-03,1.4453,1.4453,1.4453,1.4453,0.005,0,0
512200.OF,南方中证全指房地产ETF,2024-01-04,1.4249,1.4249,1.4249,1.4249,-0.0141,0,0
512200.OF,南方中证全指房地产ETF,2024-01-05,1.4224,1.4224,1.4224,1.4224,-0.0018,0,0
512200.OF,南方中证全指房地产ETF,2024-01-08,1.3953,1.3953,1.3953,1.3953,-0.019,0,0
512200.OF,南方中证全指房地产ETF,2024-01-09,1.404,1.404,1.404,1.404,0.0062,0,0
512200.OF,南方中证全指房地产ETF,2024-01-10,1.3992,1.3992,1.3992,1.3992,-0.0034,0,0
512200.OF,南方中证全指房地产ETF,2024-01-11,1.4104,1.4104,1.4104,1.4104,0.008,0,0
512200.OF,南方中证全指房地产ETF,2024-01-12,1.4062,1.4062,1.4062,1.4062,-0.003,0,0
512200.OF,南方中证全指房地产ETF,2024-01-15,1.4132,1.4132,1.4132,1.4132,0.005,0,0
512200.OF,南方中证全指房地产ETF,2024-01-16,1.3998,1.3998,1.3998,1.3998,-0.0095,0,0
512200.OF,南方中证全指房地产ETF,2024-01-17,1.3615,1.3615,1.3615,1.3615,-0.0273,0,0
512200.OF,南方中证全指房地产ETF,2024-01-18,1.3612,1.3612,1.3612,1.3612,-0.0002,0,0
512200.OF,南方中证全指房地产ETF,2024-01-19,1.3593,1.3593,1.3593,1.3593,-0.0014,0,0
512200.OF,南方中证全指房地产ETF,2024-01-22,1.2967,1.2967,1.2967,1.2967,-0.046,0,0
512200.OF,南方中证全指房地产ETF,2024-01-23,1.316,1.316,1.316,1.316,0.0149,0,0
512200.OF,南方中证全指房地产ETF,2024-01-24,1.3618,1.3618,1.3618,1.3618,0.0348,0,0
512200.OF,南方中证全指房地产ETF,2024-01-25,1.4347,1.4347,1.4347,1.4347,0.0535,0,0
512200.OF,南方中证全指房地产ETF,2024-01-26,1.4794,1.4794,1.4794,1.4794,0.0311,0,0
512200.OF,南方中证全指房地产ETF,2024-01-29,1.4525,1.4525,1.4525,1.4525,-0.0181,0,0
512200.OF,南方中证全指房地产ETF,2024-01-30,1.4017,1.4017,1.4017,1.4017,-0.035,0,0
512200.OF,南方中证全指房地产ETF,2024-01-31,1.3501,1.3501,1.3501,1.3501,-0.0369,0,0
512200.OF,南方中证全指房地产ETF,2024-02-01,1.3188,1.3188,1.3188,1.3188,-0.0232,0,0
512200.OF,南方中证全指房地产ETF,2024-02-02,1.3118,1.3118,1.3118,1.3118,-0.0053,0,0
512200.OF,南方中证全指房地产ETF,2024-02-05,1.2367,1.2367,1.2367,1.2367,-0.0573,0,0
512200.OF,南方中证全指房地产ETF,2024-02-06,1.2713,1.2713,1.2713,1.2713,0.028,0,0
512200.OF,南方中证全指房地产ETF,2024-02-07,1.2749,1.2749,1.2749,1.2749,0.0029,0,0
512200.OF,南方中证全指房地产ETF,2024-02-08,1.34,1.34,1.34,1.34,0.051,0,0
512200.OF,南方中证全指房地产ETF,2024-02-19,1.3439,1.3439,1.3439,1.3439,0.0029,0,0
512200.OF,南方中证全指房地产ETF,2024-02-20,1.3542,1.3542,1.3542,1.3542,0.0077,0,0
512200.OF,南方中证全指房地产ETF,2024-02-21,1.3822,1.3822,1.3822,1.3822,0.0206,0,0
512200.OF,南方中证全指房地产ETF,2024-02-22,1.3836,1.3836,1.3836,1.3836,0.001,0,0
512200.OF,南方中证全指房地产ETF,2024-02-23,1.3947,1.3947,1.3947,1.3947,0.0081,0,0
512200.OF,南方中证全指房地产ETF,2024-02-26,1.3813,1.3813,1.3813,1.3813,-0.0096,0,0
512200.OF,南方中证全指房地产ETF,2024-02-27,1.4079,1.4079,1.4079,1.4079,0.0192,0,0
512200.OF,南方中证全指房地产ETF,2024-02-28,1.3663,1.3663,1.3663,1.3663,-0.0296,0,0
512200.OF,南方中证全指房地产ETF,2024-02-29,1.3933,1.3933,1.3933,1.3933,0.0198,0,0
512200.OF,南方中证全指房地产ETF,2024-03-01,1.3864,1.3864,1.3864,1.3864,-0.005,0,0
512200.OF,南方中证全指房地产ETF,2024-03-04,1.3526,1.3526,1.3526,1.3526,-0.0244,0,0
512200.OF,南方中证全指房地产ETF,2024-03-05,1.3473,1.3473,1.3473,1.3473,-0.0039,0,0
512200.OF,南方中证全指房地产ETF,2024-03-06,1.3366,1.3366,1.3366,1.3366,-0.0079,0,0
512200.OF,南方中证全指房地产ETF,2024-03-07,1.326,1.326,1.326,1.326,-0.0079,0,0
512200.OF,南方中证全指房地产ETF,2024-03-08,1.3199,1.3199,1.3199,1.3199,-0.0046,0,0
512200.OF,南方中证全指房地产ETF,2024-03-11,1.352,1.352,1.352,1.352,0.0243,0,0
512200.OF,南方中证全指房地产ETF,2024-03-12,1.4048,1.4048,1.4048,1.4048,0.039,0,0
512200.OF,南方中证全指房地产ETF,2024-03-13,1.373,1.373,1.373,1.373,-0.0227,0,0
512200.OF,南方中证全指房地产ETF,2024-03-14,1.3813,1.3813,1.3813,1.3813,0.0061,0,0
512200.OF,南方中证全指房地产ETF,2024-03-15,1.3802,1.3802,1.3802,1.3802,-0.0008,0,0
512200.OF,南方中证全指房地产ETF,2024-03-18,1.3808,1.3808,1.3808,1.3808,0.0004,0,0
512200.OF,南方中证全指房地产ETF,2024-03-19,1.3685,1.3685,1.3685,1.3685,-0.0089,0,0
512200.OF,南方中证全指房地产ETF,2024-03-20,1.3718,1.3718,1.3718,1.3718,0.0024,0,0
512200.OF,南方中证全指房地产ETF,2024-03-21,1.3794,1.3794,1.3794,1.3794,0.0055,0,0
512200.OF,南方中证全指房地产ETF,2024-03-22,1.3584,1.3584,1.3584,1.3584,-0.0152,0,0
512200.OF,南方中证全指房地产ETF,2024-03-25,1.3663,1.3663,1.3663,1.3663,0.0058,0,0
512200.OF,南方中证全指房地产ETF,2024-03-26,1.3852,1.3852,1.3852,1.3852,0.0139,0,0
512200.OF,南方中证全指房地产ETF,2024-03-27,1.3442,1.3442,1.3442,1.3442,-0.0296,0,0
512200.OF,南方中证全指房地产ETF,2024-03-28,1.3489,1.3489,1.3489,1.3489,0.0035,0,0
512200.OF,南方中证全指房地产ETF,2024-03-29,1.3344,1.3344,1.3344,1.3344,-0.0108,0,0
512200.OF,南方中证全指房地产ETF,2024-03-31,1.3344,1.3344,1.3344,1.3344,0.0,0,0
512200.OF,南方中证全指房地产ETF,2024-04-01,1.3495,1.3495,1.3495,1.3495,0.0113,0,0
512200.OF,南方中证全指房地产ETF,2024-04-02,1.3347,1.3347,1.3347,1.3347,-0.011,0,0
512200.OF,南方中证全指房地产ETF,2024-04-03,1.3182,1.3182,1.3182,1.3182,-0.0123,0,0
512200.OF,南方中证全指房地产ETF,2024-04-08,1.295,1.295,1.295,1.295,-0.0176,0,0
512200.OF,南方中证全指房地产ETF,2024-04-09,1.3043,1.3043,1.3043,1.3043,0.0071,0,0
512200.OF,南方中证全指房地产ETF,2024-04-10,1.2635,1.2635,1.2635,1.2635,-0.0313,0,0
512200.OF,南方中证全指房地产ETF,2024-04-11,1.2607,1.2607,1.2607,1.2607,-0.0022,0,0
512200.OF,南方中证全指房地产ETF,2024-04-12,1.2305,1.2305,1.2305,1.2305,-0.0239,0,0
512200.OF,南方中证全指房地产ETF,2024-04-15,1.2199,1.2199,1.2199,1.2199,-0.0086,0,0
512200.OF,南方中证全指房地产ETF,2024-04-16,1.1909,1.1909,1.1909,1.1909,-0.0238,0,0
512200.OF,南方中证全指房地产ETF,2024-04-17,1.2238,1.2238,1.2238,1.2238,0.0277,0,0
512200.OF,南方中证全指房地产ETF,2024-04-18,1.214,1.214,1.214,1.214,-0.008,0,0
512200.OF,南方中证全指房地产ETF,2024-04-19,1.199,1.199,1.199,1.199,-0.0124,0,0
512200.OF,南方中证全指房地产ETF,2024-04-22,1.1909,1.1909,1.1909,1.1909,-0.0068,0,0
512200.OF,南方中证全指房地产ETF,2024-04-23,1.1819,1.1819,1.1819,1.1819,-0.0075,0,0
512200.OF,南方中证全指房地产ETF,2024-04-24,1.1802,1.1802,1.1802,1.1802,-0.0014,0,0
512200.OF,南方中证全指房地产ETF,2024-04-25,1.1878,1.1878,1.1878,1.1878,0.0064,0,0
512200.OF,南方中证全指房地产ETF,2024-04-26,1.2381,1.2381,1.2381,1.2381,0.0423,0,0
512200.OF,南方中证全指房地产ETF,2024-04-29,1.3163,1.3163,1.3163,1.3163,0.0632,0,0
512200.OF,南方中证全指房地产ETF,2024-04-30,1.2914,1.2914,1.2914,1.2914,-0.0189,0,0
512200.OF,南方中证全指房地产ETF,2024-05-06,1.2978,1.2978,1.2978,1.2978,0.005,0,0
512200.OF,南方中证全指房地产ETF,2024-05-07,1.3174,1.3174,1.3174,1.3174,0.0151,0,0
512200.OF,南方中证全指房地产ETF,2024-05-08,1.278,1.278,1.278,1.278,-0.0299,0,0
512200.OF,南方中证全指房地产ETF,2024-05-09,1.2998,1.2998,1.2998,1.2998,0.017,0,0
512200.OF,南方中证全指房地产ETF,2024-05-10,1.3447,1.3447,1.3447,1.3447,0.0346,0,0
512200.OF,南方中证全指房地产ETF,2024-05-13,1.3285,1.3285,1.3285,1.3285,-0.012,0,0
512200.OF,南方中证全指房地产ETF,2024-05-14,1.3339,1.3339,1.3339,1.3339,0.004,0,0
512200.OF,南方中证全指房地产ETF,2024-05-15,1.359,1.359,1.359,1.359,0.0188,0,0
512200.OF,南方中证全指房地产ETF,2024-05-16,1.4056,1.4056,1.4056,1.4056,0.0343,0,0
512200.OF,南方中证全指房地产ETF,2024-05-17,1.5095,1.5095,1.5095,1.5095,0.0739,0,0
512200.OF,南方中证全指房地产ETF,2024-05-20,1.4886,1.4886,1.4886,1.4886,-0.0139,0,0
512200.OF,南方中证全指房地产ETF,2024-05-21,1.4886,1.4886,1.4886,1.4886,0.0,0,0
512200.OF,南方中证全指房地产ETF,2024-05-22,1.507,1.507,1.507,1.507,0.0124,0,0
512200.OF,南方中证全指房地产ETF,2024-05-23,1.4766,1.4766,1.4766,1.4766,-0.0202,0,0
