period,industry,S_adjusted,M,return
2024-01,传统能源,-17.271197370322994,0.7512611125199158,0.08670289276010879
2024-01,化工,28.442335187936852,0.7512611125199158,-0.12984364377974167
2024-01,医药,-0.9763055903104982,0.7512611125199158,-0.16938031591737546
2024-01,半导体与信息技术,53.84782980195132,0.7512611125199158,-0.21649484536082486
2024-01,房地产,0.5638267400915407,0.7512611125199158,-0.07937265598363441
2024-01,旅游,54.57725082285614,0.7512611125199158,-0.0527142857142856
2024-01,消费,5.2214497901636285,0.7512611125199158,-0.10035087719298241
2024-01,电动车新能源,43.78118785891553,0.7512611125199158,-0.1794312557671336
2024-01,金融,29.92543376682612,0.7512611125199158,0.029086310464748744
2024-01,高端装备,56.936098764880754,0.7512611125199158,-0.12247547605308728
2024-02,传统能源,-42.79384836815941,-0.37473617966548,0.073020075005515
2024-02,化工,8.263071541795842,-0.37473617966548,0.13671875
2024-02,医药,4.096560112102109,-0.37473617966548,0.10678759508484514
2024-02,半导体与信息技术,35.98771099321231,-0.37473617966548,0.1949317738791423
2024-02,房地产,30.56501646335169,-0.37473617966548,0.0319976298051996
2024-02,旅游,23.09747522017069,-0.37473617966548,0.0699743628412004
2024-02,消费,-3.08119950795205,-0.37473617966548,0.10374414976599056
2024-02,电动车新能源,60.25045688645683,-0.37473617966548,0.12379881414843585
2024-02,金融,12.847897947821616,-0.37473617966548,0.046492575524833546
2024-02,高端装备,25.31087478591215,-0.37473617966548,0.11556797632746996
2024-03,传统能源,-41.38204516369024,-0.0947973138466103,0.0014391447368420351
2024-03,化工,16.185956625610007,-0.0947973138466103,0.007388316151202945
2024-03,医药,14.565989003769062,-0.0947973138466103,-0.04150145387258797
2024-03,半导体与信息技术,33.856859228638655,-0.0947973138466103,-0.011215334420880962
2024-03,房地产,34.095762544552656,-0.0947973138466103,-0.04227373860618677
2024-03,旅游,21.754691415856183,-0.0947973138466103,-0.0035236081747710424
2024-03,消费,9.874707773938134,-0.0947973138466103,0.017432273262661946
2024-03,电动车新能源,37.8127124107509,-0.0947973138466103,0.0022741744746657133
2024-03,金融,32.420353753548326,-0.0947973138466103,-0.027693512085331218
2024-03,高端装备,22.820507000033466,-0.0947973138466103,0.020041261420571832
2024-04,传统能源,-15.028236408714852,-0.7004769089402141,0.01012796824745088
2024-04,化工,-24.855955743893205,-0.7004769089402141,0.041616919665700136
2024-04,医药,17.55459778430334,-0.7004769089402141,0.012686155543298439
2024-04,半导体与信息技术,11.094791211452264,-0.7004769089402141,0.0012373685295936632
2024-04,房地产,-1.4956209212861538,-0.7004769089402141,-0.032224220623501165
2024-04,旅游,20.20696523155917,-0.7004769089402141,-0.002970297029702973
2024-04,消费,17.509857638707608,-0.7004769089402141,0.017480898356101005
