period,industry,S_adjusted
2024-01-01,传统能源,-17.271197370322994
2024-01-01,化工,28.442335187936855
2024-01-01,医药,-0.9763055903104982
2024-01-01,半导体与信息技术,53.84782980195132
2024-01-01,房地产,0.5638267400915407
2024-01-01,旅游,54.57725082285614
2024-01-01,消费,5.2214497901636285
2024-01-01,电动车新能源,43.78118785891553
2024-01-01,金融,29.92543376682612
2024-01-01,高端装备,56.936098764880754
2024-02-01,传统能源,-42.79384836815941
2024-02-01,化工,8.263071541795842
2024-02-01,医药,4.096560112102109
2024-02-01,半导体与信息技术,35.98771099321231
2024-02-01,房地产,30.565016463351686
2024-02-01,旅游,23.09747522017069
2024-02-01,消费,-3.08119950795205
2024-02-01,电动车新能源,60.25045688645683
2024-02-01,金融,12.847897947821615
2024-02-01,高端装备,25.31087478591215
2024-03-01,传统能源,-41.382045163690236
2024-03-01,化工,16.185956625610007
2024-03-01,医药,14.565989003769062
2024-03-01,半导体与信息技术,33.856859228638655
2024-03-01,房地产,34.095762544552656
2024-03-01,旅游,21.754691415856186
2024-03-01,消费,9.874707773938134
2024-03-01,电动车新能源,37.8127124107509
2024-03-01,金融,32.420353753548326
2024-03-01,高端装备,22.820507000033462
2024-04-01,传统能源,-15.028236408714852
2024-04-01,化工,-24.855955743893205
2024-04-01,医药,17.55459778430334
2024-04-01,半导体与信息技术,11.094791211452264
2024-04-01,房地产,-1.4956209212861538
2024-04-01,旅游,20.206965231559174
2024-04-01,消费,17.509857638707608
2024-04-01,电动车新能源,36.68827807233056
2024-04-01,金融,24.819920995290904
2024-04-01,高端装备,8.633113010728838
2024-05-01,传统能源,55.78770991002406
2024-05-01,化工,3.9281317814308467
2024-05-01,医药,29.20297355964261
2024-05-01,半导体与信息技术,35.86493903000052
2024-05-01,房地产,12.644452995874301
2024-05-01,旅游,11.222625675127254
2024-05-01,消费,-0.21376123075188858
2024-05-01,电动车新能源,35.6180047700392
2024-05-01,金融,7.709285679022788
2024-05-01,高端装备,25.07315149011538
2024-06-01,传统能源,-4.000862626423126
2024-06-01,化工,8.443791373498673
2024-06-01,医药,15.86133682977788
2024-06-01,半导体与信息技术,34.477317027299414
2024-06-01,房地产,16.735515511097997
2024-06-01,旅游,7.942680495187318
2024-06-01,消费,10.051703415332954
2024-06-01,电动车新能源,38.8033426113078
2024-06-01,金融,2.556027257757689
2024-06-01,高端装备,14.25476048075296
2024-07-01,传统能源,23.355546460696093
2024-07-01,化工,21.482778891818537
2024-07-01,医药,30.300585206876036
2024-07-01,半导体与信息技术,69.68881732652433
2024-07-01,房地产,47.89551211605659
2024-07-01,旅游,46.84825788317963
2024-07-01,消费,41.95120231288478
2024-07-01,电动车新能源,41.524213960533906
2024-07-01,金融,33.75985800452544
2024-07-01,高端装备,47.59004758457557
2024-08-01,传统能源,-1.1607288634151667
2024-08-01,化工,-30.012826883573286
2024-08-01,医药,0.5248881453314818
2024-08-01,半导体与信息技术,5.052117562656495
2024-08-01,房地产,0.27220925796261897
2024-08-01,旅游,2.419942723231781
2024-08-01,消费,-12.413646980837331
2024-08-01,电动车新能源,-9.338244224662292
2024-08-01,金融,-9.986984918893935
2024-08-01,高端装备,-3.9900335189313187
2024-09-01,传统能源,-20.448452950036113
2024-09-01,化工,5.184929601240391
2024-09-01,医药,-52.63559550023827
2024-09-01,半导体与信息技术,6.6039269400809975
2024-09-01,房地产,5.402355561182231
2024-09-01,旅游,13.088014187974252
2024-09-01,消费,-38.354679249262254
2024-09-01,电动车新能源,-14.330583376990742
2024-09-01,金融,-34.682707552078995
2024-09-01,高端装备,8.004924090711647
2024-10-01,传统能源,-2.016385060478596
2024-10-01,化工,29.61527404360126
2024-10-01,医药,4.756796122855568
2024-10-01,半导体与信息技术,40.95311901250429
2024-10-01,房地产,26.974227091260072
2024-10-01,旅游,67.1776785509021
2024-10-01,消费,34.53458009332421
2024-10-01,电动车新能源,31.10543270333934
2024-10-01,金融,23.750256276118904
2024-10-01,高端装备,42.35735485638379
2024-11-01,传统能源,-59.535856372583126
2024-11-01,化工,44.44112313453762
2024-11-01,医药,-44.244154782209016
2024-11-01,半导体与信息技术,24.987042603942157
2024-11-01,房地产,47.912025183951094
2024-11-01,旅游,50.09515856331644
2024-11-01,消费,37.97664155747471
2024-11-01,电动车新能源,47.90215911857568
2024-11-01,金融,27.827545888901945
2024-11-01,高端装备,51.445986753647
2024-12-01,传统能源,-52.36160005711582
2024-12-01,化工,72.79819650288002
2024-12-01,医药,35.04590883214172
2024-12-01,半导体与信息技术,85.52719882411544
2024-12-01,房地产,64.18404960235544
2024-12-01,旅游,73.97950864010991
2024-12-01,消费,40.097656342634
2024-12-01,电动车新能源,62.35996151205015
2024-12-01,金融,40.065387387454905
2024-12-01,高端装备,72.12026076123884
