period,portfolio_return
2024-01-01,-0.003416435636535101
2024-01-16,0.00724752198998691
2024-02-01,0.07454717092441485
2024-02-16,0.06217977738192227
2024-03-01,0.027805899851782948
2024-03-16,0.002268537018266755
2024-04-01,0.029376600646789174
2024-04-16,0.03721294479947238
2024-05-01,0.015472261922965112
2024-05-16,0.0009953897422699783
2024-06-01,0.0013374341969199185
2024-06-16,-0.016401886513337537
2024-07-01,0.01504154582636061
2024-07-16,0.01896927920796933
2024-08-01,-0.01976379010069714
2024-08-16,0.007718441061911577
2024-09-01,-0.03052458076395432
2024-09-16,0.336684272208906
2024-10-01,-0.054312961998564266
2024-10-16,0.023949894332845806
2024-11-01,0.02867518693390009
2024-11-16,-0.0036080923426064977
2024-12-01,0.008408231684229486
