industry,period,S_adjusted,M,return
传统能源,2024-01-01,-9.161366697890967,0.6948386740090445,0.03468115710404396
传统能源,2024-01-16,-13.401443918202771,0.7982798112789754,0.050278035217794725
传统能源,2024-02-01,-9.786710559295615,-0.4118460541937689,0.019413192146481073
传统能源,2024-02-16,-36.87173805941416,-0.3499962633132873,0.0738387014751174
传统能源,2024-03-01,-15.605490031881494,-0.0028500184246469,-0.020706480572018293
传统能源,2024-03-16,-25.742396521002117,-0.1959393388107701,0.02138813168379139
传统能源,2024-04-01,-16.973145388826563,-0.772440048607268,0.05460890987476952
传统能源,2024-04-16,4.407507539006835,-0.6415979764853519,-0.04217766530400335
传统能源,2024-05-01,18.7869157358423,-0.3478091650008805,-0.001761398279249038
传统能源,2024-05-16,36.524966989363925,-0.4679673088444806,0.03318629114353566
传统能源,2024-06-01,-3.696932860283375,-1.1470118044293554,-0.005057803468208055
传统能源,2024-06-16,-0.4646409688636175,-1.2365088823155233,-0.001650491846569846
传统能源,2024-07-01,8.917813920922836,-0.1368990146877432,-0.00806771591059341
传统能源,2024-07-16,12.636239271307923,-0.0013352543676267,-0.07200000000000029
传统能源,2024-08-01,-6.641161061359298,-0.3756483966840246,0.0022988505747130183
传统能源,2024-08-16,5.722401704546616,-0.5004997661127336,0.004515481651376163
传统能源,2024-09-01,-6.550334866777472,-0.4189373035453304,-0.08954691402069181
传统能源,2024-09-16,-13.509965426542577,-0.0406464005509145,0.2043887147335426
传统能源,2024-10-01,5.778515885724151,1.3657675931939977,-0.06129619989588708
传统能源,2024-10-16,-12.852938370735927,1.5162146053161571,-0.037466295442594166
传统能源,2024-11-01,-25.9697678510254,0.4373581564123536,-0.0035819184755353506
传统能源,2024-11-16,-33.999342430343,0.1432226101516743,-0.006033215464121389
传统能源,2024-12-01,-45.90559051890583,0.971599791869161,0.023674655047204674
化工,2024-01-01,32.76459443585888,0.6948386740090445,-0.057613868116927036
化工,2024-01-16,-1.000208095704329,0.7982798112789754,-0.07664562669071207
化工,2024-02-01,14.670517827631596,-0.4118460541937689,0.08749999999999991
化工,2024-02-16,-8.971862026887097,-0.3499962633132873,0.049129948914431676
化工,2024-03-01,12.063960107406515,-0.0028500184246469,0.012525264778446399
化工,2024-03-16,4.548333904227764,-0.1959393388107701,-0.005934214988131736
化工,2024-04-01,-18.865442247306063,-0.772440048607268,0.0388879413269656
化工,2024-04-16,-5.698665913474151,-0.6415979764853519,0.002626826465276233
化工,2024-05-01,-5.378832242810365,-0.3478091650008805,0.01964958244637338
化工,2024-05-16,9.825884696404936,-0.4679673088444806,-0.030833467159145367
化工,2024-06-01,-1.3608680981656356,-1.1470118044293554,-0.030488815244407386
化工,2024-06-16,9.273892664619332,-1.2365088823155233,-0.030934882925995444
化工,2024-07-01,1.3140672252158143,-0.1368990146877432,-0.01146384479717788
化工,2024-07-16,21.43505269488465,-0.0013352543676267,-0.03710972346119501
化工,2024-08-01,-11.390619484147711,-0.3756483966840246,-0.06170094496942724
化工,2024-08-16,-19.42736957124174,-0.5004997661127336,0.01441548183254393
化工,2024-09-01,10.102202231276848,-0.4189373035453304,-0.051586529102588874
化工,2024-09-16,0.3260938286486787,-0.0406464005509145,0.28243021346469654
化工,2024-10-01,-1.0002767405140482,1.3657675931939977,-0.08306658130601807
化工,2024-10-16,28.515376248360432,1.5162146053161571,0.01059265294210543
化工,2024-11-01,29.30459739711068,0.4373581564123536,0.03373083475298122
化工,2024-11-16,13.511317002070331,0.1432226101516743,-0.005970073943597165
化工,2024-12-01,29.46039967540589,0.971599791869161,-0.004349280695884583
医药,2024-01-01,-0.6084403936201168,0.6948386740090445,-0.06391251518833507
医药,2024-01-16,-2.2484122793157297,0.7982798112789754,-0.11266874350986478
医药,2024-02-01,2.0610739095980173,-0.4118460541937689,0.0798712697483912
医药,2024-02-16,3.074321492351121,-0.3499962633132873,0.02684688664228685
医药,2024-03-01,7.849550786329742,-0.0028500184246469,0.019816925972408583
医药,2024-03-16,7.399714883503476,-0.1959393388107701,-0.054004696060526824
医药,2024-04-01,13.190140320124156,-0.772440048607268,-0.028405956977384905
