period,industry,S_adjusted
2024-01-01,传统能源,-9.161366697890967
2024-01-01,化工,32.76459443585888
2024-01-01,医药,-0.6084403936201168
2024-01-01,半导体与信息技术,42.866702762215105
2024-01-01,房地产,1.2834019091297972
2024-01-01,旅游,32.78917855181123
2024-01-01,消费,15.556783199533342
2024-01-01,电动车新能源,36.527117602353115
2024-01-01,金融,28.608531180502236
2024-01-01,高端装备,40.20415664784808
2024-01-16,传统能源,-13.401443918202773
2024-01-16,化工,-1.0002080957043287
2024-01-16,医药,-2.2484122793157297
2024-01-16,半导体与信息技术,10.474864005729831
2024-01-16,房地产,-3.8848291667560204
2024-01-16,旅游,19.323744683312768
2024-01-16,消费,-11.825865129688127
2024-01-16,电动车新能源,9.215939772041493
2024-01-16,金融,0.8679180768249264
2024-01-16,高端装备,19.228530404006897
2024-02-01,传统能源,-9.786710559295617
2024-02-01,化工,14.670517827631597
2024-02-01,医药,2.0610739095980173
2024-02-01,半导体与信息技术,28.575098640792458
2024-02-01,房地产,22.463203500352698
2024-02-01,旅游,11.492271220354922
2024-02-01,消费,5.551115123125783e-15
2024-02-01,电动车新能源,28.575098640792458
2024-02-01,金融,12.981807950448886
2024-02-01,高端装备,17.629428134823396
2024-02-16,传统能源,-36.871738059414156
2024-02-16,化工,-8.971862026887097
2024-02-16,医药,3.074321492351121
2024-02-16,半导体与信息技术,6.9902613331097925
2024-02-16,房地产,8.112008561346983
2024-02-16,旅游,9.886861687454127
2024-02-16,消费,-1.4908797789268449
2024-02-16,电动车新能源,32.86824707714058
2024-02-16,金融,-1.7763568394002505e-15
2024-02-16,高端装备,6.919385233713985
2024-03-01,传统能源,-15.605490031881494
2024-03-01,化工,12.063960107406517
2024-03-01,医药,7.849550786329742
2024-03-01,半导体与信息技术,18.54480203032425
2024-03-01,房地产,11.545610719009236
2024-03-01,旅游,2.95177672219289
2024-03-01,消费,10.253242999811777
2024-03-01,电动车新能源,17.071601001385677
2024-03-01,金融,16.357564432246612
2024-03-01,高端装备,8.309973342517143
2024-03-16,传统能源,-25.742396521002114
2024-03-16,化工,4.548333904227764
2024-03-16,医药,7.399714883503476
2024-03-16,半导体与信息技术,16.89631054402116
2024-03-16,房地产,22.808607957373788
2024-03-16,旅游,18.762097114672912
2024-03-16,消费,-0.8506061603461736
2024-03-16,电动车新能源,20.261262219351252
2024-03-16,金融,15.556594113040996
2024-03-16,高端装备,15.226938016744441
2024-04-01,传统能源,-16.973145388826563
2024-04-01,化工,-18.865442247306063
2024-04-01,医药,13.190140320124156
2024-04-01,半导体与信息技术,11.841182662116422
2024-04-01,房地产,-3.0708425163168442
2024-04-01,旅游,8.425326797000663
2024-04-01,消费,6.1719376760865226
2024-04-01,电动车新能源,24.291201934209706
2024-04-01,金融,15.952670510301923
2024-04-01,高端装备,1.2388585719647471
2024-04-16,传统能源,4.407507539006835
2024-04-16,化工,-5.698665913474151
2024-04-16,医药,5.5955538135724305
2024-04-16,半导体与信息技术,-1.8719248340627268
2024-04-16,房地产,1.3575311591373587
2024-04-16,旅游,11.01812591290131
2024-04-16,消费,10.861992322093252
2024-04-16,电动车新能源,11.019658181650538
2024-04-16,金融,8.393241100888076
2024-04-16,高端装备,7.243154416780387
2024-05-01,传统能源,18.7869157358423
2024-05-01,化工,-5.378832242810365
2024-05-01,医药,4.643716355173049
2024-05-01,半导体与信息技术,6.08089093892347
2024-05-01,房地产,0.40418362901583205
2024-05-01,旅游,3.546696950580816
2024-05-01,消费,-10.587963291939488
2024-05-01,电动车新能源,2.02091814507915
2024-05-01,金融,-6.8079317374910335
2024-05-01,高端装备,3.546696950580817
2024-05-16,传统能源,36.524966989363925
