period,portfolio_return
2024-01-07,-0.007374544509770027
2024-01-14,0.0018256671756493254
2024-01-21,-0.00196060534049119
2024-01-28,0.030878187970991122
2024-02-04,-0.04914638147457951
2024-02-11,0.09418862574691793
2024-02-18,0.0
2024-02-25,0.045845778022038125
2024-03-03,0.041550185257416786
2024-03-10,-0.0014366975009939395
2024-03-17,0.03361024459076597
2024-03-24,-0.00483186050009097
2024-03-31,0.0019116440331930914
2024-04-07,0.025524579510197872
2024-04-14,-0.012037966119937533
2024-04-21,0.02671095831059072
2024-04-28,0.020918211809207873
2024-05-05,0.023517918133383456
2024-05-12,0.024387836185441714
2024-05-19,0.034431341803036405
2024-05-26,-0.012263449817876798
2024-06-02,0.006350825650373768
2024-06-09,-0.008277339042105045
2024-06-16,-0.0019727230721789894
2024-06-23,-0.010518372102013477
2024-06-30,-0.007871818806759764
2024-07-07,-0.0015739070283753444
2024-07-14,0.027630063435001094
2024-07-21,0.021330475144631315
2024-07-28,-0.031304104808929735
2024-08-04,0.008253143903497377
2024-08-11,0.00394113921247474
2024-08-18,-0.010509963853907562
2024-08-25,-0.012756909777997254
2024-09-01,0.028737596467678553
2024-09-08,-0.019110235527535997
2024-09-15,-0.01399620656846258
2024-09-22,0.026913388854859027
2024-09-29,0.17773346364512327
2024-10-06,0.10346166183355036
2024-10-13,-0.02738658274435918
2024-10-20,0.030003482424512472
2024-10-27,0.02299140618022605
2024-11-03,-0.00806615602921417
2024-11-10,0.06379027979694313
2024-11-17,-0.039788470643355264
2024-11-24,-0.021415132147802943
2024-12-01,0.021120511492796118
2024-12-08,0.01295421763531852
2024-12-15,-0.0116902108792079
2024-12-22,-0.04035892457737132
2024-12-29,-0.0007611464816293194
2025-01-05,-0.06220568866014247
