industry,period,S_adjusted,M,return
传统能源,2024-01-02,0.0,0.742225051592782,0.022374940067124927
化工,2024-01-02,0.0,0.742225051592782,-0.009687287559483448
医药,2024-01-02,-4.440892098500626e-16,0.742225051592782,-0.011178614823815325
半导体与信息技术,2024-01-02,0.0,0.742225051592782,-0.0185185185185186
房地产,2024-01-02,0.0,0.742225051592782,-0.01943402659393112
旅游,2024-01-02,0.0,0.742225051592782,-0.004142857142857004
消费,2024-01-02,-4.440892098500626e-16,0.742225051592782,-0.01824561403508762
电动车新能源,2024-01-02,0.0,0.742225051592782,-0.023571847999328877
金融,2024-01-02,0.0,0.742225051592782,-0.01306776267256815
高端装备,2024-01-02,0.0,0.742225051592782,-0.011540680900173128
传统能源,2024-01-03,-1.1102230246251563e-16,0.675279313673183,0.013443801782085263
化工,2024-01-03,0.0,0.675279313673183,0.0039471426119785935
医药,2024-01-03,4.440892098500626e-16,0.675279313673183,-0.003932170066355378
半导体与信息技术,2024-01-03,4.440892098500626e-16,0.675279313673183,-0.020813071386889814
房地产,2024-01-03,0.0,0.675279313673183,0.005076495132128045
旅游,2024-01-03,-6.661338147750939e-16,0.675279313673183,0.008893989384593182
消费,2024-01-03,-6.661338147750939e-16,0.675279313673183,-0.00619490111984744
电动车新能源,2024-01-03,0.0,0.675279313673183,-0.004639175257731831
金融,2024-01-03,0.0,0.675279313673183,0.004591564335290954
高端装备,2024-01-03,0.0,0.675279313673183,-0.0016053706946876911
传统能源,2024-01-04,0.0,0.6904109455634826,0.00933209933672674
化工,2024-01-04,0.0,0.6904109455634826,-0.007863247863247769
医药,2024-01-04,0.0,0.6904109455634826,-0.01036269430051806
半导体与信息技术,2024-01-04,0.0,0.6904109455634826,-0.01410409217322195
房地产,2024-01-04,0.0,0.6904109455634826,-0.014114716667819827
旅游,2024-01-04,0.0,0.6904109455634826,-0.008104649509455442
消费,2024-01-04,0.0,0.6904109455634826,-0.016183169503716233
电动车新能源,2024-01-04,0.0,0.6904109455634826,-0.017175901950630124
金融,2024-01-04,0.0,0.6904109455634826,-0.002125850340136015
高端装备,2024-01-04,0.0,0.6904109455634826,-0.014471568484139774
传统能源,2024-01-05,-2.220446049250313e-16,0.6940894439066461,-0.0019102926568349554
化工,2024-01-05,2.220446049250313e-16,0.6940894439066461,-0.01154376292212278
医药,2024-01-05,2.220446049250313e-16,0.6940894439066461,-0.018698578908002972
半导体与信息技术,2024-01-05,2.220446049250313e-16,0.6940894439066461,-0.014910336490026266
房地产,2024-01-05,2.220446049250313e-16,0.6940894439066461,-0.001754509088357059
旅游,2024-01-05,2.220446049250313e-16,0.6940894439066461,-0.01118119266055051
消费,2024-01-05,0.0,0.6940894439066461,-0.0069452906055806896
电动车新能源,2024-01-05,2.220446049250313e-16,0.6940894439066461,-0.006147361025731213
金融,2024-01-05,0.0,0.6940894439066461,0.0027694929697485993
高端装备,2024-01-05,2.220446049250313e-16,0.6940894439066461,-0.016018985464253954
传统能源,2024-01-07,0.0,,0.0
化工,2024-01-07,0.0,,0.0
医药,2024-01-07,0.0,,0.0
半导体与信息技术,2024-01-07,0.0,,0.0
房地产,2024-01-07,0.0,,0.0
旅游,2024-01-07,0.0,,0.0
消费,2024-01-07,0.0,,0.0
电动车新能源,2024-01-07,0.0,,0.0
金融,2024-01-07,0.0,,0.0
高端装备,2024-01-07,0.0,,0.0
传统能源,2024-01-08,0.0,0.7185515421846873,-0.005359056806002238
化工,2024-01-08,0.0,0.7185515421846873,-0.020219626982743488
医药,2024-01-08,0.0,0.7185515421846873,-0.01143292682926833
半导体与信息技术,2024-01-08,0.0,0.7185515421846873,-0.027203927183473087
